pwm,voltage,speed
135,2.206445,8.68227
185,2.199194,12.84002
21,2.196777,0
119,2.21128,7.213893
85,2.209668,4.708396
62,2.206445,2.967788
171,2.210474,11.72464
199,2.207251,14.13998
137,2.199194,8.909742
45,2.2,1.457803
140,2.206445,9.102741
226,2.204834,16.36519
127,2.23545,8.024503
100,2.204834,5.864112
190,2.198389,13.29527
71,2.208862,3.585155
96,2.208057,5.364851
46,2.204834,1.512917
171,2.20564,11.75086
7,2.206445,0
195,2.198389,13.39916
213,2.208057,15.05589
22,2.207251,0
233,2.196777,16.72662
2,2.208057,0
218,2.206445,15.32963
246,2.215308,19.38585
146,2.208862,9.659246
33,2.20564,0
122,2.207251,7.503279
86,2.189526,4.763814
75,2.190332,3.968401
48,2.20564,0
50,2.206445,0
189,2.233033,13.00673
13,2.20564,0
140,2.199194,9.156226
70,2.207251,3.482062
189,2.206445,13.2436
242,2.206445,18.71288
168,2.207251,11.30671
174,2.199194,11.77509
142,2.206445,9.271502
51,2.206445,1.828323
171,2.20564,11.35912
247,2.200806,19.30603
0,2.206445,0
202,2.187109,14.36748
8,2.208862,0
99,2.206445,5.912897
115,2.201611,6.912834
115,2.208862,7.197959
72,2.20564,3.653142
124,2.208057,7.810866
159,2.207251,10.75932
215,2.209668,15.29202
24,2.18872,0
108,2.209668,6.59918
92,2.192749,5.096927
40,2.204834,1.158179
245,2.196777,19.30342
104,2.204834,6.290709
134,2.208862,8.7492
39,2.207251,0
180,2.212891,12.69833
200,2.208057,14.20661
185,2.206445,12.98834
101,2.20564,6.054495
60,2.206445,2.771723
132,2.220948,8.413568
105,2.20564,6.141057
108,2.20564,6.444927
166,2.204834,11.38448
187,2.20564,13.18623
169,2.206445,11.34698
207,2.204834,14.89796
155,2.20564,10.48687
220,2.206445,16.15929
123,2.215308,7.865899
163,2.206445,11.09014
122,2.20564,7.766416
124,2.206445,7.824288
239,2.202417,18.30765
190,2.212085,13.45735
91,2.207251,5.036266
67,2.20564,3.32891
27,2.191138,0
239,2.207251,18.55593
117,2.207251,7.318317
112,2.197583,6.915604
32,2.207251,0
189,2.212085,13.21274
15,2.208057,0
226,2.206445,16.10991
130,2.207251,8.51048
82,2.208057,4.554301
169,2.206445,11.31396
235,2.206445,17.26833
118,2.209668,7.607978
108,2.206445,6.439908
88,2.207251,5.025905
223,2.195972,16.20514
121,2.2,7.48772
58,2.207251,2.588268
73,2.198389,3.729478
164,2.204834,11.24745
214,2.181469,15.40374
105,2.206445,6.438376
214,2.208057,15.07381
193,2.207251,13.76575
244,2.199194,19.87469
221,2.206445,16.04999
70,2.20564,3.548852
90,2.206445,5.128026
20,2.207251,0
169,2.206445,11.73795
226,2.207251,16.26285
212,2.20564,15.08887
64,2.204028,3.059834
91,2.208057,5.167943
9,2.192749,0
18,2.20564,0
61,2.206445,2.912917
179,2.201611,12.46486
102,2.198389,6.052115
58,2.208057,0
167,2.21128,11.41484
64,2.202417,2.842741
85,2.206445,4.705773
41,2.207251,1.019764
170,2.203223,11.74928
121,2.208057,7.462286
136,2.195972,9.007274
220,2.208862,15.98807
181,2.199194,12.90033
211,2.20564,14.83913
134,2.208862,8.86449
108,2.208057,6.629315
23,2.208057,0
147,2.206445,10.4492
237,2.204834,18.08277
168,2.206445,11.57918
36,2.212891,0
176,2.213696,12.19714
166,2.20564,11.31005
63,2.212085,2.866485
151,2.2,10.14235
78,2.206445,4.11507
87,2.204834,4.923432
52,2.208057,2.030106
14,2.206445,0
168,2.206445,11.52514
193,2.206445,13.68576
115,2.206445,6.878205
234,2.207251,17.08279
186,2.195972,12.92443
254,2.20564,19.62318
163,2.204834,11.51003
29,2.208057,0
21,2.20564,0
11,2.197583,0
197,2.208057,14.00708
168,2.199194,11.42888
99,2.207251,5.663364
77,2.208862,3.864873
200,2.207251,13.92106
114,2.199194,7.111923
205,2.216114,14.51444
245,2.206445,19.7943
17,2.206445,0
172,2.191943,12.02496
209,2.212085,14.72714
204,2.191943,14.37813
94,2.206445,5.488266
219,2.195166,14.95826
66,2.208057,3.119259
208,2.204834,14.77687
54,2.20564,2.302097
38,2.209668,0
148,2.208057,9.859628
131,2.208057,8.345933
35,2.208057,0
111,2.20564,6.772279
7,2.203223,0
35,2.206445,0
206,2.212085,14.73294
94,2.20564,5.343463
203,2.208862,14.27867
23,2.20564,0
95,2.190332,5.416446
32,2.207251,0
12,2.197583,0
61,2.206445,2.859388
29,2.20564,0
254,2.201611,19.40884
3,2.206445,0
245,2.203223,19.33574
124,2.206445,7.910662
14,2.207251,0
100,2.20564,5.97009
112,2.209668,6.869932
108,2.20564,6.594139
145,2.216114,9.592767
171,2.195166,11.54853
233,2.207251,16.9132
238,2.21853,18.0651
72,2.208862,3.6215
77,2.206445,4.03973
80,2.189526,4.287857
173,2.206445,11.99246
193,2.206445,13.65032
36,2.208057,0
62,2.204834,2.89599
121,2.20564,7.55423
116,2.204834,7.233326
41,2.206445,0
157,2.18872,10.39333
8,2.208862,0
24,2.198389,0
222,2.207251,15.95819
160,2.208862,10.89839
4,2.204028,0
117,2.20564,7.16186
8,2.206445,0
163,2.204834,11.16931
4,2.203223,0
213,2.20564,15.00498
75,2.206445,3.709433
113,2.208057,7.116724
127,2.203223,8.152188
97,2.208862,5.704789
67,2.192749,3.105329
199,2.199194,14.17123
133,2.208057,8.545855
141,2.208057,9.25315
121,2.206445,7.85909
81,2.206445,4.458892
227,2.207251,16.28561
152,2.206445,10.29382
4,2.207251,0
239,2.200806,18.2955
168,2.204028,11.72901
40,2.207251,0
122,2.204834,7.625928
89,2.206445,4.984376
147,2.208057,9.602913
25,2.199194,0
117,2.204834,7.283164
252,2.181469,19.70565
243,2.20564,19.12527
196,2.207251,13.67706
